id,group,fastq_1,fastq_2
ENCFF037QRA_subset,CTCF,fastq/ENCFF037QRA_subset.fastq.gz,
ENCFF869TVW_subset,CTCF,fastq/ENCFF869TVW_subset.fastq.gz,
